ID;KD_PROV;KD_KAB;KD_KEC;KD_DESA;NAMA;STATUS_ADM
1;11;;;;ACEH;PROV
2;12;;;;SUMATERA UTARA;PROV
3;13;;;;SUMATERA BARAT;PROV
4;14;;;;RIAU;PROV
5;15;;;;JAMBI;PROV
6;16;;;;SUMATERA SELATAN;PROV
7;17;;;;BENGKULU;PROV
8;18;;;;LAMPUNG;PROV
9;19;;;;KEPULAUAN  BANGKA BELITUNG;PROV
10;21;;;;KEPULAUAN  RIAU;PROV
11;31;;;;DKI JAKARTA;PROV
12;32;;;;JAWA BARAT;PROV
13;33;;;;JAWA TENGAH;PROV
14;34;;;;DAERAH ISTIMEWA  YOGYAKARTA;PROV
15;35;;;;JAWA TIMUR;PROV
16;36;;;;BANTEN;PROV
17;51;;;;BALI;PROV
18;52;;;;NUSA TENGGARA  BARAT;PROV
19;53;;;;NUSA TENGGARA  TIMUR;PROV
20;61;;;;KALIMANTAN BARAT;PROV
21;62;;;;KALIMANTAN TENGAH;PROV
22;63;;;;KALIMANTAN SELATAN;PROV
23;64;;;;KALIMANTAN TIMUR;PROV
24;65;;;;KALIMANTAN UTARA;PROV
25;71;;;;SULAWESI  UTARA;PROV
26;72;;;;SULAWESI  TENGAH;PROV
27;73;;;;SULAWESI  SELATAN;PROV
28;74;;;;SULAWESI TENGGARA;PROV
29;75;;;;GORONTALO;PROV
30;76;;;;SULAWESI  BARAT;PROV
31;81;;;;MALUKU;PROV
32;82;;;;MALUKU UTARA;PROV
33;91;;;;PAPUA;PROV
34;92;;;;PAPUA BARAT;PROV
35;11;01;;;ACEH SELATAN;KABU
36;11;02;;;ACEH TENGGARA;KABU
37;11;03;;;ACEH TIMUR;KABU
38;11;04;;;ACEH TENGAH;KABU
39;11;05;;;ACEH BARAT;KABU
40;11;06;;;ACEH BESAR;KABU
41;11;07;;;PIDIE;KABU
42;11;08;;;ACEH UTARA;KABU
43;11;09;;;SIMEULUE;KABU
44;11;10;;;ACEH SINGKIL;KABU
45;11;11;;;BIREUEN;KABU
46;11;12;;;ACEH BARAT DAYA;KABU
47;11;13;;;GAYO LUES;KABU
48;11;14;;;ACEH JAYA;KABU
49;11;15;;;NAGAN RAYA;KABU
50;11;16;;;ACEH TAMIANG;KABU
51;11;17;;;BENER MERIAH;KABU
52;11;18;;;PIDIE JAYA;KABU
53;11;71;;;KOTA BANDA ACEH;KABU
54;11;72;;;KOTA SABANG;KABU
55;11;73;;;KOTA LHOKSEUMAWE;KABU
56;11;74;;;KOTA LANGSA;KABU
